"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"1","1a-11","95","42541",95,"11","0",12,"1a-11_42541",0.75138888888614,15,"1a",3,25.2865064695934,"1a_12"
"2","1a-14","72","42541",72,"14","1",11,"1a-14_42541",0.75138888888614,25,"1a",3,11.4987060998572,"1a_11"
"3","1a-15","66","42541",66,"15","1",11,"1a-15_42541",0.75138888888614,17,"1a",3,15.5007067522585,"1a_11"
"4","1a-16","158","42541",158,"16","1",11,"1a-16_42541",0.75138888888614,23,"1a",3,27.4274692599251,"1a_11"
"5","2b-11","175","42541",175,"11","0",12,"2b-11_42541",0.75138888888614,19,"2b",3,36.7740052535639,"2b_12"
"6","2b-12","223","42541",223,"12","0",12,"2b-12_42541",0.75138888888614,17,"2b",3,52.3736000871765,"2b_12"
"7","2b-13","59","42541",59,"13","0",12,"2b-13_42541",0.75138888888614,16,"2b",3,14.7227356747304,"2b_12"
"8","2b-15","31","42541",31,"15","1",11,"2b-15_42541",0.75138888888614,17,"2b",3,7.28063498969718,"2b_11"
"9","3c-11","127","42541",127,"11","0",12,"3c-11_42541",0.75138888888614,24,"3c",3,21.1275415897261,"3c_12"
"10","3c-12","284","42541",284,"12","0",12,"3c-12_42541",0.75138888888614,25,"3c",3,45.3560073938813,"3c_12"
"11","3c-13","84","42541",84,"13","0",12,"3c-13_42541",0.75138888888614,20,"3c",3,16.7689463956251,"3c_12"
"12","3c-14","132","42541",132,"14","1",11,"3c-14_42541",0.75138888888614,24,"3c",3,21.9593345656996,"3c_11"
"13","3c-15","78","42541",78,"15","1",11,"3c-15_42541",0.75138888888614,24,"3c",3,12.9759704251861,"3c_11"
"14","3c-16","162","42541",162,"16","1",11,"3c-16_42541",0.75138888888614,31,"3c",3,20.8645876811925,"3c_11"
"15","4d-11","291+","42541",500,"11","0",12,"4d-11_42541",0.75138888888614,23,"4d",3,86.7957887972315,"4d_12"
"16","4d-12","289+","42541",500,"12","0",12,"4d-12_42541",0.75138888888614,20,"4d",3,99.8151571168161,"4d_12"
"17","4d-13","329","42541",329,"13","0",12,"4d-13_42541",0.75138888888614,22,"4d",3,59.7076121662409,"4d_12"
